grad_cetv,naziv,adresa,telefon,fax,email,web,nadlezan,izvor,izradio,x,y
Brezovica,DVD Brezovica,"Brezovička cesta 100, Brezovica",01 6538 602,01 653 8602,brezovica@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.907586519000063,45.724334399000040
Brezovica,DVD Dragonožec,"Donjodragonoška cesta 30, Donji Dragonožec",01 6215 276,,dragonozec@vzgz.hr,https://dvd-dragonozec.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.944682669000030,45.664250758000040
Brezovica,DVD Horvati,"Horvaćanski trg 2, Horvati",01 6539 191,,horvati@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.818283226000062,45.712646927000040
Brezovica,DVD Kupinečki Kraljevec,"Matički 27, Kupinečki Kraljevec",01 6587 778,,kupinecki-kraljevec@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.836234317000049,45.688187103000075
Brezovica,DVD Lipnica,"Lipnička cesta 36, Lipnica",01 6250 338,,lipnica@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.921805455000026,45.630673096000066
Brezovica,DVD Odranski Obrež,"Obreška cesta 119, Odranski Obrež",01 6537 631,,odranski-obrez@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.942668543000025,45.715953193000075
Brezovica,DVD Trupci,"Trpučanska cesta 28, Donji Trpuci",01 6213 663,,trpuci@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.928984773000025,45.667332097000040
Črnomerec,DVD Bijenik,Bijenik 162,01 3738 452,,bijenik@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.938840050000067,45.846935358000050
Črnomerec,DVD Črnomerec,Ilica 259,01 3750 014,,crnomerec@vzgz.hr,http://dvd-crnomerec.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.931685554000069,45.814245001000074
Črnomerec,DVD Kustošija,Ilica 259,01 3750 006,,kustosija@vzgz.hr,http://www.vzgz.hr/,Ministarstvo unutarnjih poslova,Vatrogasna zajednica Grada Zagreba,"Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje",15.931685554000069,45.814245001000074
